EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7798033339534,15,65,12575,1
7793350993049,43.89,11,450,1
7622300803735,9.8,0,0,1
7794820004159,13.74,20,0,1
7790975001753,110,9,252,1
7790036000299,7.2,14,1674,1
7790189042023,217.81,7,1962,1
7891010927417,123,14,1212,1
7797906001028,0,0,0,1
7500435113793,87,8,464,1
7791293034928,72,15,336,1
7790520987037,23.1,25,2208,1
8076810500483,0,0,0,1
7891010618094,106,9,288,1
7790123000447,0,0,0,1
7790415127814,160,0,174,1
7791250001277,147,21,2778,1
7794626007705,169,41,4072,1
7794000597136,24.5,96,360,1
7790240094473,170.63,8,6,1
7795711000915,22.9,32,612,1
7791058000458,0,0,0,1
7794820001301,14.63,37,0,1
7796373002712,39.2,9,204,1
7791905002819,114.9,0,324,1
7790250054283,13.5,36,2256,1
7798159714284,25.99,21,840,1
7501001309077,71,27,408,1
7790990572221,8.09,91,12180,1
7790580470906,82,0,24,1
7791070000764,8.6,39,2688,1
7792640001921,101,17,108,1
7312040551699,450,11,0,1
7790520011237,49.3,12,192,1
7794000598287,19.6,63,1500,1
7792798007219,0,0,0,1
7794218106328,8,81,8200,1
7791708001231,22,1,0,1
7798053650343,109,21,24,1
7790895010460,20,7,0,1
7794520421553,16,14,384,1
7790416093231,60,8,0,1
7791293029788,84.85,276,2112,1
7790900015534,79.99,8,0,1
7610400084994,450,0,0,1
3600530833108,0,0,0,0
7790150573150,7.7,13,3000,1
799118000261,76.9,24,0,1
7790577006101,328,17,36,1
7798133620358,0,0,80,1
7798033337035,11.13,43,11880,1
5013967002821,0,0,0,1
7790703000775,80,12,54,1
7790520011268,78,17,684,1
7790070960702,16.7,165,1152,1
7791905003755,24.9,14,0,1
7798054220590,35,29,2296,1
4066600611301,0,0,0,1
7791293033884,74,20,492,1
7798048730395,8.7,0,0,1
7798111008284,35,4,72,1
7798159716387,21,0,4374,1
7798108349178,60,73,84336,1
7791690000663,118.8,15,1392,1
21000614271,84,9,276,1
7500435004725,73.5,15,2454,1
7797330104906,100,0,36,1
7790975001944,140,11,24,1
26964177190,330,11,0,1
7790150535233,29.2,8,1020,1
8003240060195,0,0,0,1
7791293030401,48.4,17,3136,1
7798152229976,23,13,6768,1
7798080811700,0,0,0,1
7791014001659,39,18,72,1
7506339398052,111,9,0,0
7790236001270,35.29,83,12264,1
7794450940186,193,18,0,1
7790613000223,38,22,84,1
7795323002468,24.79,3,2250,1
7793755000076,0,0,0,1
7790064000230,21.9,8,3180,1
7798145470118,0,0,0,0
7790320600648,11,0,0,1
7790150550441,48,32,850,1
7792319065278,166,8,0,1
7798108348423,26,24,0,1
7790895007200,198,2,0,1
7790071070202,26,32,324,1
