EAN,Sales Price,Qty at Store,Qty at DC,in assortment
7798091030077,55,0,288,1
7290000461793,81,0,720,1
7896004400075,98,23,0,1
7794560000039,10,0,0,1
7798113150585,24,6,190,1
726669007470,85.6,19,0,1
7798086021271,67,17,36,1
4005808979691,38.2,47,168,1
7794000554726,17.7,95,6730,1
7790260013195,81,10,18,1
7790670045625,26,1,0,1
7796989010293,31,7,0,1
8411102015786,85,26,1236,1
7899026451124,0,0,0,0
7791290012448,22.9,37,28170,1
7790580250607,70,3,108,1
7791085002364,0,0,0,1
7790411000531,72,9,560,1
7790070411525,49.99,48,324,1
7792710000090,35,11,4040,1
7790520017406,269,0,110,1
7790550001512,255,0,12,1
7791293029788,84.85,239,2244,1
7796989008542,64.39,276,0,1
7791014003004,87,9,60,1
7794520421133,79,13,160,1
7793100130090,26,98,6984,1
7790130000089,44.39,52,816,1
7793126001466,91,0,24,1
7891010657536,104,16,468,1
7793913000986,35.4,33,1680,1
7790503000272,27.6,178,644,1
7790040055414,13.4,74,5820,1
7622300990183,78,0,0,1
7796733000068,113,26,36,1
54400000092,42,24,0,1
7793100141218,96,0,204,1
7790580106409,0,0,16,1
7792170001095,46.3,16,0,1
309978009306,0,0,0,0
80432400432,1080,13,0,1
7790503000319,46.7,11,190,1
7796138000021,236.25,10,42,1
7792319000118,155,17,24,1
7501009224020,57,62,4000,1
5011885011772,123,0,0,1
7790380015031,54,45,42,1
7500435113663,326,44,652,1
7798141711482,86,14,360,1
7798080491513,0,0,0,1
7790375001308,292,15,45,1
7797330004367,57,8,102,1
309976593203,90,11,42,1
7790040301702,57,0,0,1
7622300865559,14.6,771,192,1
7793817000570,93,30,48,1
7798045210784,45,26,96,1
3017566810032,0,0,0,0
7791290007260,35,76,5724,1
7622210692481,18.29,52,2196,1
7501065904522,45.75,16,1320,1
8033813740315,184,0,0,1
7792900000329,71,9,352,1
7500435012386,78.19,20,396,1
7798161720785,94,0,0,1
7891150014831,88,25,0,1
7798000212396,437,14,0,1
7790272000046,73,41,300,1
7793360006159,53,256,22560,1
7791290012417,22.9,31,44805,1
7506339399523,0,0,120,1
7790520011336,65,11,168,1
7791130001786,25,16,492,1
7792900638119,67,0,10,1
7793440003054,259,12,0,1
7790150432389,16.8,50,600,1
7791293026510,46.8,10,36,1
7790895005923,10,11,0,1
7798152229792,38.25,13,264,1
7791200000213,128,74,672,1
309972271297,0,0,0,0
7791290010529,32.99,33,4596,1
7798157740070,34,50,144,1
7790577001663,396,2,0,1
7791337990142,23.55,9,0,1
7793100141294,64,19,324,1
3600530348268,0,0,0,0
8000353006232,628,14,0,1
7794218000138,0,0,0,1
7798030690027,0,0,0,1
6412709021301,445,0,0,1
7790070318756,25.29,120,5500,1
3607345888996,46.7,20,252,1
7798162490267,230,6,0,1
7790773008329,48.5,23,368,1
7796104001175,36,23,24,1
70942303460,77,18,54,1
7791017000314,71,14,144,1
7790070228116,67,11,72,1
7790580103477,43.8,0,0,1
7798021690388,0,0,0,1
7790520007070,57,0,786,1
7798141717019,57,19,24,1
7790520012548,18.9,25,84,1
7792756000344,263,12,210,1
7500435004671,370,5,456,1
7899706115407,110.79,13,180,1
3614220617077,90,0,0,0
7506339337532,92,33,1620,1
7798185279306,15,15,216,1
7790649991250,476,15,540,1
7793102000018,14,0,0,1
7622300829643,18.19,151,19500,1
7791560074244,381.55,8,0,1
5000267023601,1054,23,0,1
8001840285109,0,0,0,1
7790139003357,89.8,25,1068,1
7790236001218,39.4,24,0,1
7796020001099,121,32,252,1
7790580618315,10.8,0,144,1
7791290012219,75.4,0,0,1
7790990012307,21.4,115,1024,1
7795933202029,86,29,12,1
7899706127165,162,17,42,1
7500435019590,48.4,28,144,1
77990112,0,0,2688,1
7790940515032,22.4,19,72,1
7790250056997,38,0,2150,1
7798085680264,111.97,39,0,1
21000619849,82,8,0,1
17600083043,88,16,12,1
7798111009571,17,1,5400,1
7791293026077,43.7,106,3312,1
